Age,Gender,Education,Skills,Experience_Years,Previous_Companies,Certifications,Job_Role_Applied,Job_Description,Fit_Score
41,F,B.A,"Event Planning, Vendor Management, Logistics",8,"EventCo, HospitalityCo",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.25
52,M,MBA,"Financial Modeling, Equity Research, Investment Banking",15,"InvestBank, FundHouse",CFA Level 1,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.32
27,M,B.Sc IT,"SQL, HTML, CSS, Basic JavaScript",2,WebWorks,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.5
31,F,B.Tech Computer,"MS Office, VBA, Excel Macros, SQL",4,"DataCorp, RetailCo",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.45
29,M,B.Sc CS,"PHP, MySQL, Basic Python",3,TechSoft,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.6
33,F,B.Tech CS,"JavaScript, React, HTML, CSS",5,"WebWorks, CodeFactory",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.57
26,M,B.Sc IT,"SQL, HTML, Basic PHP, MySQL",2,TechSoft,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.48
30,F,B.Tech Computer,"Python Basics, SQL, Excel, Data Entry",4,RetailCo,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.52
28,M,B.Sc CS,"JavaScript, HTML, CSS, Node.js Basics",3,"WebWorks, TechSoft",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.55
34,F,B.Tech CS,"SQL, Python, Excel, Automation Basics",5,"CodeFactory, DataCorp",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.62
25,M,B.Sc IT,"HTML, CSS, JavaScript, Basic SQL",1,WebWorks,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.43
32,F,MBA,"Python Basics, SQL, Excel, Reporting",4,"RetailCo, ConsultFirm",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.47
29,M,B.Tech Computer,"PHP, MySQL, HTML, JavaScript",3,"TechSoft, WebWorks",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.58
35,F,B.Tech CS,"SQL, Python, JavaScript, HTML",6,"CodeFactory, GlobalCorp",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.65
27,M,B.Sc CS,"PHP, MySQL, SQL, Basic Python",2,TechSoft,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.5
31,F,B.Tech Computer,"Python, SQL, Excel, Basic Java",4,"DataCorp, RetailCo",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.63
26,M,B.Sc IT,"SQL, JavaScript, HTML, CSS",2,WebWorks,,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.44
33,F,B.Tech CS,"Python, SQL, JavaScript, Basic Backend",5,"CodeFactory, TechSoft",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.6
28,M,B.Sc CS,"SQL, PHP, HTML, MySQL",3,"TechSoft, WebWorks",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.52
30,F,MBA,"Python Basics, SQL, Excel, Automation",4,"RetailCo, ConsultFirm",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.57
